Date and Time,FrontLeftMotorSpeed,RearLeftMotorSpeed,FrontRightMotorSpeed,RearRightMotorSpeed
,0.0,0.0,-0.0,-0.020170126_042821576
,0.0,0.0,-0.0,-0.020170126_042822128
,0.0,0.0,-0.0,-0.020170126_042822676
,0.0,0.0,-0.0,-0.020170126_042823220
,0.0,0.0,-0.0,-0.020170126_042823762
