StartToHopper/RedRightToHopperOne
181
0.002 0.178 8.889 444.444 360.000 0.020 -315.998 79.000
0.009 0.356 8.889 0.001 360.000 0.020 -315.991 79.000
0.025 0.800 22.222 666.674 360.000 0.020 -315.975 79.000
0.053 1.422 31.112 444.466 360.000 0.020 -315.947 79.000
0.098 2.222 40.002 444.493 360.000 0.020 -315.902 79.000
0.162 3.200 48.892 444.534 360.000 0.020 -315.838 79.000
0.249 4.356 57.784 444.589 360.000 0.020 -315.751 79.000
0.363 5.689 66.677 444.654 360.000 0.020 -315.637 79.000
0.507 7.201 75.572 444.721 360.000 0.020 -315.493 79.000
0.683 8.801 80.022 222.517 360.000 0.020 -315.317 79.000
0.891 10.402 80.027 0.246 360.000 0.020 -315.109 79.000
1.131 12.002 80.030 0.163 359.999 0.020 -314.869 79.000
1.403 13.603 80.031 0.029 359.999 0.020 -314.597 79.000
1.707 15.204 80.028 -0.154 359.999 0.020 -314.293 79.000
2.043 16.804 80.020 -0.377 359.998 0.020 -313.957 79.000
2.411 18.404 80.007 -0.629 359.998 0.020 -313.589 79.000
2.811 20.004 79.990 -0.892 359.998 0.020 -313.189 79.000
3.243 21.603 79.967 -1.142 359.997 0.020 -312.757 79.000
3.707 23.202 79.940 -1.349 359.997 0.020 -312.293 79.000
4.203 24.800 79.910 -1.473 359.997 0.020 -311.797 79.000
4.731 26.398 79.881 -1.469 359.997 0.020 -311.269 79.000
5.291 27.995 79.855 -1.281 359.998 0.020 -310.709 79.000
5.883 29.592 79.838 -0.847 359.999 0.020 -310.117 79.000
6.507 31.188 79.837 -0.090 360.000 0.020 -309.493 79.000
7.162 32.786 79.858 1.072 0.001 0.020 -308.838 79.000
7.850 34.384 79.913 2.735 0.003 0.020 -308.150 79.000
8.570 35.984 80.013 5.006 0.004 0.020 -307.430 79.000
9.322 37.588 80.173 8.005 0.005 0.020 -306.678 79.000
10.105 39.195 80.390 10.839 0.006 0.020 -305.895 79.000
10.921 40.779 79.180 -60.482 0.008 0.020 -305.079 79.000
11.768 42.342 78.173 -50.337 0.013 0.020 -304.232 79.000
12.646 43.901 77.943 -11.526 0.023 0.020 -303.354 79.001
13.555 45.455 77.698 -12.224 0.037 0.020 -302.445 79.001
14.495 47.004 77.439 -12.964 0.055 0.020 -301.505 79.002
15.466 48.547 77.164 -13.749 0.079 0.020 -300.534 79.003
16.468 50.085 76.872 -14.585 0.109 0.020 -299.532 79.005
17.500 51.616 76.563 -15.477 0.146 0.020 -298.500 79.007
